Base Bandwidth Unit (bbu) , Group 1 Calls Blocked,Group 2 Calls Blocked,Group 1 Calls Dropped,Group 2 Calls Dropped
1,0.5378411912506187,0.2892731470058837,0.0014224690559524098,2.023418215142141e-06
2,0.9460529205260767,0.8950161284359193,0.19236944057225475,0.03700600166608218
3,0.9759318199752743,0.952442917240251,0.44979877423258013,0.2023189373011316
4,0.9902464976059585,0.9805881260208676,0.5043447419755276,0.2543636187583615
5,0.9803220035778175,0.9610312306988265,0.6118067978533095,0.3743075578995203
6,0.9937888198757764,0.9876162185100883,0.6708074534161491,0.449982639558659
7,0.9811320754716981,0.9626201495194019,0.7924528301886793,0.6279814880740477
8,0.9811320754716981,0.9626201495194019,0.7924528301886793,0.6279814880740477
9,0.9811320754716981,0.9626201495194019,0.7924528301886793,0.6279814880740477
10,0.9811320754716981,0.9626201495194019,0.7924528301886793,0.6279814880740477
11,1.0,1.0,0.8571428571428571,0.7346938775510204
12,1.0,1.0,0.8571428571428571,0.7346938775510204
13,1.0,1.0,0.8571428571428571,0.7346938775510204
14,1.0,1.0,0.8571428571428571,0.7346938775510204
15,1.0,1.0,0.8571428571428571,0.7346938775510204
