Threshold, % of Capacity , Group 1 Calls Blocked,Group 2 Calls Blocked,Group 1 Calls Dropped,Group 2 Calls Dropped
1,5.0,0.9999937221974564,0.9999874444343234,0.0,0.0
2,10.0,0.9999853517940647,0.9999707038026988,0.014655619564829638,0.00021478718482901725
3,15.0,0.9999657199859374,0.9999314411469937,0.023899520323757136,0.0005711870717056818
4,20.0,0.999920130089944,0.9998402665590898,0.03526816762593093,0.0012438436476907642
5,25.0,0.999814942741116,0.9996299197284202,0.049397601427635884,0.0024401230268035765
6,30.0,0.9995742934068902,0.9991487680398844,0.06603488034768738,0.004360605422533378
7,35.0,0.99903072692815,0.9980623933465878,0.08436806376661769,0.007117970183728067
8,40.0,0.9978272510823282,0.9956592230025142,0.10309312341489395,0.010628192095438577
9,45.0,0.9952426094746739,0.9905078517139585,0.12058830983804364,0.01454154046959601
10,50.0,0.9899288863652931,0.9799592000604305,0.13527317039322467,0.01829883062823442
11,55.00000000000001,0.9796190049383086,0.9596533948363206,0.14610092302972671,0.021345479710138143
12,60.0,0.9609714406304167,0.9234661097072971,0.15294485428559143,0.023392128452440816
13,65.0,0.9297637723984101,0.8644606724645203,0.1565677603010255,0.024513463565679294
14,70.0,0.8815109132835104,0.777061490237931,0.15814220379667543,0.025008956621669153
15,75.0,0.8123624041719077,0.6599326757119623,0.1586943953626549,0.025183911119518496
16,80.0,0.7200371440553883,0.518453488819439,0.15884797888783228,0.02523268039674899
17,85.0,0.6045778023638233,0.36551431911107013,0.15888108499343856,0.025243199168692013
18,90.0,0.4687277006868129,0.2197056573911455,0.15888642360005745,0.025244895604416576
19,95.0,0.31777991990687177,0.10098407749601779,0.15888703037005766,0.02524508841981535
20,100.0,0.15888707375998526,0.02524510220801076,0.15888707375998526,0.02524510220801076
